Rho,Chi,Gamma,Sigma,Delta,X_0(1),X_0(2),F_0,Iter_0,Time_0,X_1(1),X_1(2),F_1,Iter_1,Time_1
1,2,0.5,0.5,0.1,1,1,0,10000,0.1299732,1,1,0,10000,0.0803961
1.2,4,0.7,0.3,0.1,1,1,1.97215226305253e-31,167,0.0018905,1,1,1.97215226305253e-31,224,0.0019528
1.2,4,0.7,0.3,0.5,1,1,4.43734259186819e-31,186,0.0020873,0.999999999999999,0.999999999999999,4.43734259186819e-31,208,0.0016404
1.4,5,0.8,0.2,0.1,1,1,0,10000,0.0826193,0.999999999999999,0.999999999999998,9.98402083170343e-31,193,0.0016229
1.65,4.55,0.95,0.15,0.1,1.00000000000006,1.00000000000011,3.0373117003272e-27,173,0.0019554,1,1,1.23259516440783e-30,266,0.0023814
2,4,0.7,0.5,0.5,1,1,0,10000,0.0858161,1,1,0,10000,0.0713491
